"Country or Area"|"Year"|"Commodity"|"Flow"|"Trade (USD)"|"Weight (kg)"|"Quantity Name"|"Quantity"
"Uruguay"|"2016"|"Coffee, not roasted, not decaffeinated"|"Import"|"2421743"|"1000461"|"Weight in kilograms"|"1000461"
"Uruguay"|"2016"|"Coffee, not roasted, decaffeinated"|"Import"|"30114"|"4772"|"Weight in kilograms"|"4772"
"Uruguay"|"2016"|"Coffee, roasted, not decaffeinated"|"Import"|"1983135"|"217332"|"Weight in kilograms"|"217332"
"Uruguay"|"2016"|"Coffee, roasted, not decaffeinated"|"Export"|"178"|"5"|"Weight in kilograms"|"5"
"Uruguay"|"2016"|"Coffee, roasted, decaffeinated"|"Import"|"152635"|"15862"|"Weight in kilograms"|"15862"
"Uruguay"|"2016"|"Tea, green (unfermented) in packages < 3 kg"|"Import"|"109203"|"7108"|"Weight in kilograms"|"7108"
"Uruguay"|"2016"|"Tea, green (unfermented) in packages < 3 kg"|"Export"|"11478"|"1467"|"Weight in kilograms"|"1467"
"Uruguay"|"2016"|"Tea, green (unfermented) in packages > 3 kg"|"Import"|"79756"|"16263"|"Weight in kilograms"|"16263"
"Uruguay"|"2016"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"865882"|"64468"|"Weight in kilograms"|"64468"
"Uruguay"|"2016"|"Tea, black (fermented or partly) in packages < 3 kg"|"Export"|"1830"|"310"|"Weight in kilograms"|"310"
"Uruguay"|"2016"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"924650"|"370190"|"Weight in kilograms"|"370190"
"Uruguay"|"2016"|"Mate"|"Import"|"71511694"|"30903172"|"Weight in kilograms"|"30903172"
"Uruguay"|"2016"|"Mate"|"Export"|"630493"|"136373"|"Weight in kilograms"|"136373"
"Uruguay"|"2016"|"Pepper of the genus Piper, whole"|"Import"|"1385017"|"124483"|"Weight in kilograms"|"124483"
"Uruguay"|"2016"|"Pepper of the genus Piper, crushed or ground"|"Import"|"448568"|"21603"|"Weight in kilograms"|"21603"
